Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),App message,
129.71474600000056,1500,,,,0.3587423142490841,14.39818571679451,5.778930221307305,15018,0,83.20610796821667,0.00431149888751797,,
133.21069650000058,1400,,,,0.2535236973114036,14.629307825670608,3.673853664340995,12703,0,53.74593765968083,0.004717107172486083,,
136.71154650000065,1300,,,,0.15457098138380337,14.820055983887693,1.9340223291767848,9959,0,28.662291667316843,0.005393324141952426,,
140.2090467500007,1200,,,,0.07532595698170692,14.963642813268388,0.8543956782836656,6964,0,12.784858772787029,0.005892395887237733,,
143.7120470000006,1100,,,,0.023620668117357878,15.055979462891647,0.2894300749690045,3769,0,4.3576458335024,0.005422572319601495,,
147.21099700000045,1000,,,,0.0033087004852545296,15.119821570009815,0.03698149933247784,0,0,0.5591528144497064,0,,
150.71194675000035,1000,,,,0.004476894563513327,15.153726440035054,0.04713865085902673,0,0,0.71432874445186,0,,
154.21154650000057,1100,,,,0.0227680371480345,15.156028189064283,0.29446692431268084,3806,0,4.462944593311226,0.005103122269766283,,
157.7107462500005,1200,,,,0.0734696105422383,15.12422308226281,0.8566771119619515,7053,0,12.956572333900525,0.005670831353958615,,
161.21279750000045,1300,,,,0.15424751668273787,15.035093521356496,1.9639214449447455,10085,0,29.52773989046471,0.0052239302717592894,,
164.7102475000005,1400,,,,0.25944459450671703,14.876631859228533,3.719200693849328,12940,0,55.329188602933165,0.004689244481747573,,
168.21204650000075,1500,,,,0.3718780931521365,14.661652227890404,5.920568777551456,15284,0,86.80531346584156,0.004284051007044966,,
171.71254675000043,1600,,,,0.4801125976513646,14.393781523299657,8.487964331408136,17350,0,122.1739157713949,0.003929756631858277,,
175.21129600000057,1700,,,,0.5933918772528106,14.042404700481168,11.787594763567068,19338,0,165.52615638152633,0.0035849080227841855,,
178.71319700000052,1800,,,,0.7109654173127908,13.623091620268827,15.579268230248767,21124,0,212.23779166780196,0.0033498592461882167,,
182.1878467500004,1900,,,,0.8231385810625668,13.133818584448619,19.842483778330077,22627,0,260.6076258112278,0.003158538219118152,,
185.68584600000057,2000,,,,0.9263823340491684,12.560855056581469,24.618213931483485,23939,0,309.2258843848165,0.0029958103309054166,,
189.1856955000005,2000,,,,0.9089478979631529,12.475204991191074,24.242180634016584,23768,0,302.4262000198341,0.0030055215790976393,,
192.68569600000055,1900,,,,0.7909767752074284,12.920051338572032,19.024709725458354,22150,0,245.80020980299938,0.003217967509889245,,
196.1866970000005,1800,,,,0.6763616770267372,13.299260342141773,14.88233700052125,20573,0,197.92407548194416,0.0034172800723287254,,
199.68634625000058,1700,,,,0.560713248919511,13.648627987787355,11.224431487289472,18694,0,153.19804169081542,0.0036600797415118754,,
203.18859675000067,1600,,,,0.4495315792036316,13.964106539791388,8.065988448557354,16820,0,112.63433651080227,0.003991082448094096,,
206.68689600000056,1500,,,,0.351783553094189,14.217323872203906,5.667879149566059,14867,0,80.58207793836232,0.004365543290404452,,
210.18699625000053,1400,,,,0.2474860535495283,14.437257780847911,3.6050351772270375,12524,0,52.046845351198826,0.004755435981120336,,
213.68774700000063,1300,,,,0.15130025936028146,14.621305209236061,1.8917379871642463,9824,0,27.65966865848028,0.0054701449417139236,,
217.18289675000045,1200,,,,0.07133895461343763,14.748697129764892,0.8382780812721832,6836,0,12.363505579780426,0.005770258159116547,,
220.68349700000073,1100,,,,0.022768282875981233,14.834251638394724,0.28487061882187925,3729,0,4.225854432530893,0.005394721876685006,,
224.1846470000005,1000,,,,0.004125613561834248,14.892430697863261,0.04435415931456732,0,0,0.6605473888841976,0,,
227.68494700000042,1000,,,,0.0055123431707453,14.92734012603277,0.03613789168208385,0,0,0.5394465315777611,0,,
231.18624650000046,1100,,,,0.024216041851309666,14.93512101680678,0.2900515087650207,3756,0,4.3319525442186215,0.00559097888279398,,
234.68634625000064,1200,,,,0.07290688081761132,14.909237509275645,0.8484517002778785,6936,0,12.649770450295925,0.005764439586545034,,
238.18634775000055,1300,,,,0.15248398850185182,14.829207687745164,1.9319128421278209,9976,0,28.648739355756998,0.005322732225950565,,
241.68579600000075,1400,,,,0.2577679599372181,14.681089294664094,3.688150862462289,12737,0,54.14606643278118,0.00476086297985332,,
245.18619675000053,1500,,,,0.36463955098558887,14.476188353211318,5.824649841617292,15150,0,84.31872225453274,0.00432456760006165,,
248.6861470000004,1600,,,,0.4692557503193636,14.224862102488595,8.328400235268123,17182,0,118.47032619619984,0.003960974724895023,,
252.18519675000044,1700,,,,0.5858910095084706,13.887155987980876,11.568582036627522,19109,0,160.6547534840049,0.0036469200905916246,,
255.6867967500005,1800,,,,0.6981524772661938,13.483628788353917,15.298320038006107,20893,0,206.27693835919746,0.003384556715817651,,
259.1855460000007,1900,,,,0.8072655689379544,13.028934978522184,19.35925226314738,22427,0,252.230462130665,0.0032005113006816745,,
262.70984575000085,2000,,,,0.9122668470479856,12.451289162518712,24.303804788672583,23787,0,302.61379012203986,0.003014625973652621,,
266.2114460000007,2000,,,,0.8889963225155768,12.365552009332934,23.82103572974706,23481,0,294.5602999253555,0.0030180456853884283,,
269.7095462500007,1900,,,,0.7704693562496016,12.792268122776546,18.60995887014652,21939,0,238.0635051355367,0.0032364088506007527,,
273.21079700000064,1800,,,,0.6624205031297861,13.15006963666961,14.527341100712608,20384,0,191.03551502520193,0.0034675319829829973,,
276.71134625000053,1700,,,,0.5492387556722066,13.479593986210048,10.97833370857391,18579,0,147.98348779572842,0.0037114888611525553,,
280.21359600000073,1600,,,,0.43709323730933247,13.78012668869344,7.872812053840541,16649,0,108.48836640965837,0.004028966959569965,,
283.71099625000056,1500,,,,0.3403034089776485,14.021304303257546,5.529796337713659,14739,0,77.53496263235921,0.004389036659478748,,
287.2110470000004,1400,,,,0.24200470113967185,14.237715550973334,3.5168310373252316,12464,0,50.0716644478714,0.004833288823572641,,
290.71024700000066,1300,,,,0.1427691614773571,14.415895732312526,1.8236268188593967,9666,0,26.2892192340149,0.005430798683092776,,
294.23759625000065,1200,,,,0.06822405352829575,14.538631670129126,0.8116178416404219,6778,0,11.799819122228289,0.0057819615329397205,,
297.7369462500005,1100,,,,0.022391931043090462,14.616340148886191,0.27812640951269707,3668,0,4.065191413021173,0.005509002154338715,,
301.2360957500006,1000,,,,0.004376456431137713,14.66440953230106,0.04834355337544806,0,0,0.7089297637334685,0,,
